device,num
TECNIS ITEC PRELOADED 1-PIECE IOL,1
RESOLUTION 360 CLIP,2
RESOLUTION CLIP CLIPPING DEVICE,3
ELIMINATE PLUS,4
"RELIAVAC 400 EVACUATOR, 400ML CAPACITY, Y-CONNECTING TUBE, 35"""" (88.9CM) STERILE",5
PULSE GEN MODEL 102,6
SILICONE FOLEY CATHETER,7
UNKNOWN HIP FEMORAL HEAD,8
TARGET HELICAL ULTRA 4 MM X 8 CM,9
TARGET HELICAL ULTRA 3 MM X 6 CM,10
INTRALASE FS2,11
FAST-FIX 360 CURVED NDL DELIVERY SYS,12
ARCTIC SUN 5000,13
LIGHTSHEER DUET,14
AVEA VENTILATOR,15
TARGET 360 ULTRA 5MM X 10CM,16
"6F ANGIO-SEAL VIP VASCULAR CLOSURE DEVICE, OUS",17
ARTIC SUN MODEL 2000 TEMPERATURE MANAGEMENT SYSTEM,18
TAPERLOC COMPLETE MICRO PRIMARY FEMORAL POROUS COATED STEM,19
BARDEX LUBRICATH FOLEY CATHETER,20
TARGET HELICAL ULTRA 2 MM X 6 CM,21
COREVALVE TRANSCATHETER AORTIC VALVE,22
"8F ANGIO-SEAL STS PLUS VASCULAR CLOSURE DEVICE, OUS",23
BARDEX LUBRICATH FOLEY CATHETER COUDE TIP,24
VELA VENTILATOR,25
TARGET XL 360 SOFT 6MM X 20CM,26
ENDO GIA,27
S4IR ETL,28
ACCUTRAK DELIVERY CATHETER SYSTEM,29
"6F ANGIO-SEAL STS PLUS VASCULAR CLOSURE DEVICE, OUS",30
INGENIA 1.5T,31
LTV 1200 VENTILATOR,32
UNIVERSAL RINGLOC 2-HOLE SHELL,33
CENTURION VISION SYSTEM,34
PREMIUM PLUS CEEA,35
E1 RINGLOC MAX-ROM ACETABULAR LINER,36
RFB MDU CNTRL PWRMX ELITE,37
OSTEORAPTOR 2.9 W/ 2 UB WHITE / BLUE,38
HEALICOIL RSB SA 4.75MM W/1 UT & 1 UB BK,39
EXCELSIOR SL-10 150CM 2 TIP,40
ENDO GIA ULTRA,41
"SVC REPL,MDU, HAND CNTRL, PWRMX",42
MULTIFIRE ENDO GIA,43
ACCESSORY TRACTION,44
TARGET 360 ULTRA 2.5MM X 4CM,45
GIA,46
TARGET 360 NANO 2 MM X 3 CM,47
TARGET XL 360 SOFT 5MM X 10CM,48
TARGET 3D 7 MM X 15 CM,49
TARGET 360 ULTRA 2MM X 4CM,50
TARGET 360 SOFT 5MM X 15CM,51
SYNCHROMED II,52
TRAPEASE PVCF FEM/JUG 55CM CSI,53
"CONTROL UNIT, DYONICS 25",54
TARGET 360 NANO 2.5 MM X 4 CM,55
TARGET XL 360 SOFT 4MM X 12CM,56
"LIBERTY CYCLER SET, SINGLE CONN./EXT. DL",57
LIBERTY CYCLER,58
RELIAVAC 400 CLOSED WOUND SUCTION KIT WITH PVC SILICONIZED DRAIN,59
AXIUM PRIME BRPL 3D,60
LIBERTY SELECT CYCLER,61
TOSOH HLC-723G8 ANALYZER,62
AIA-600II,63
NAVALIGN COOK CELECT JUGULAR VENA CAVA FILTER SET,64
COOK CELECT FEMORAL AND JUGULAR VENA CAVA FILTER,65
GUNTHER TULIP JUGULAR VENA CAVA FILTER SET,66
UNKNOWN,67
GUNTHER TULIP NAVALIGN FEMORAL VENA CAVA FILTER SET,68
GUNTHER TULIP FEMORAL VENA CAVA FILTER SET,69
FREESTYLE PRECISION NEO,70
OT VERIO FLEX METER,71
OT ULTRA METER,72
OT PING METER,73
ACETLR CUP HAP 50MM W/ IMPTR,74
SYNVISC ONE,75
SWITCHCUT REAMER 4.5 X 10.0MM W/ NITINOL PASSERS,76
SWITCHCUT REAMER 4.5 X 9.5MM W/ NITINOL PASSERS,77
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,78
FREESTYLE FREEDOM LITE,79
FREESTYLE FREEDOM,80
FREESTYLE LITE,81
SAPPHIRE M.T INFUSION PUMP - FRENCH,82
RESOLUTE ONYX RX,83
COBAS 6000 C (501) MODULE,84
UNKNOWN CUP,85
UNKNOWN HEAD,86
FREEDOM CONSTR. LINER +5 SZ 24,87
LINER STANDARD 3.5 MM OFFSET 40 MM I.D. FOR USE WITH 58 MM O.D. SHELL,88
UNKNOWN LINER,89
FREEDOM CONSTR. LINER +5 SZ 23,90
FREEDOM CONSTR HD 36MM T1 STD,91
VGXP XP MED TIB BRG RT 9X63,92
VANG XP INLK FEMORAL RT 57.5,93
OPTIPAC-S 60 REFOBACIN BONE CEMENT R,94
VANG XP INLK PRI TIB TRAY 65MM,95
VGXP XP LAT TIB BRG RT 9X63,96
ORALBPWRPWRORALCARERFLSPRECISIONCLEAN,97
"ORAL-B BRUSHHEADS, VERSION UNKNOWN",98
COBAS INTEGRA 800,99
COBAS 6000 C501 MODULE,100
"NAVLOCK, UNIVERSAL TRACKER ADAPTER FOR INSTRUMENTS FROM 13 TO 20MM",101
"2008T HEMODIALYSIS SYS., WITH CDX",102
COBAS INTEGRA 400 PLUS,103
PEROXICLEAR HYDROGEN PEROXIDE SOLUTION,104
EVOLUT R TRANSCATHETER AORTIC VALVE,105
ORAL-B FLOSS ACTION BRUSH HEAD,106
ATTUNE IMPACTION HANDLE,107
CRANIALMAP SOFTWARE,108
AFFINITY 4 BED FRAME,109
PHYSIOMESH,110
SYMPHION TISSUE REMOVAL SYSTEM RESECTING DEVICE,111
RESIDENT BED FRAME,112
OBTRYX SYSTEM - CURVED,113
BALLAST CURVED GEAR SHIFT,114
N/A,115
ANIMAS VIBE,116
ANIMAS VIBE,117
ANIMAS VIBE,118
COBAS 8000 C 702 MODULE,119
ANIMAS VIBE,120
UNKNOWN INTRODUCER KIT,121
ANIMAS VIBE,122
UNKNOWN PLASMABLADE DEVICE,123
PVP SMALL 4.3CM X 4.3CM,124
"HUDSON TRACH-VENT+,CLEAN",125
UNKNOWN HIP ACETABULAR CUP,126
UNKNOWN MAE GENERATOR,127
LINX REFLUX MANAGEMENT SYSTEM,128
SYNCHROMED II,129
SYNCHROMED II,130
"ELEOS, RESURFACING FEMUR, RIGHT",131
ANIMAS VIBE,132
ASR ACETABULAR IMPLANT 54,133
PROCLAIM 5 ELITE,134
COMPRESSOR MINI,135
COMPRESSOR MINI,136
ETS*ENDO ARTICU LIN CUTTER WHI,137
DEPUY ASR XL FEM IMP SIZE 47,138
CUB PEDIATRIC CRIB- HYD BASE,139
AIR OPTIX PLUS HYDRAGLYDE,140
OPTIFLUX 160NRE DIALYZER FINISHED ASSY.,141
CREATININE PLUS VER.2,142
"OCTRODE LEAD KIT, 60CM LENGTH",143
PEROXICLEAR HYDROGEN PEROXIDE SOLUTION,144
ENDO GIA ULTRA,145
PROCLAIM 5 ELITE,146
SROM*NRH REPL HINGE PIN/XSM/SM,147
UNKNOWN MAE DEVICE,148
LEAD MODEL 302,149
LEAD MODEL 302,150
ACTIVA,151
GREEN RELOAD FOR ECHELON 60,152
SYNCHROMED II,153
ELECSYS TSH ASSAY,154
INTERSTIM II,155
"OCTRODE LEAD KIT, 60CM LENGTH",156
"OCTRODE LEAD KIT, 60CM LENGTH",157
ACTIVA,158
"HUDSON TRACH-VENT+,CLEAN",159
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,160
INFINITY,161
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,162
PFC* PATELLAR CEMENTING CLAMP,163
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,164
APOLLO,165
PARIETEX,166
ACCUTRAK DELIVERY CATHETER SYSTEM,167
ACRYSOF IQ NATURAL SINGLEPIECE IOL,168
LEAD MODEL 302,169
1.7MM CABLE WITH CRIMP 750MM-STERILE,170
ACRYSOF RESTOR TORIC SINGLEPIECE IOL,171
SURESCAN,172
SURESCAN,173
SURESCAN,174
MESH SOFRADIM - PARIETEX COMPOSITE MESH,175
CUSA EXCEL 36KHZ STRAIGHT HANDPIECE,176
PULSE GEN MODEL 105,177
PULSE GEN MODEL 105,178
MESH SOFRADIM - PARIETEX OPTIMIZED COMPOSITE MESH,179
VERSAONE,180
VERSAONE,181
VERIFY,182
HEARTWARE VENTRICULAR ASSIST SYSTEM - CONTROLLER 2.0,183
COBAS 6000 C (501) MODULE,184
SYNCHROMED II,185
ENDO GIA,186
FAST-CATH TRIO HEMOSTATIS INTRODUCER CATH-LOCK INTRODUCER,187
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,188
COBAS 8000 C (701) MODULE,189
DEXCOM G4 PLATINUM CONTINUOUS GLUCOSE MONITORING SYSTEM,190
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,191
COAGUCHEK XS SYSTEM,192
